support,itemsets
0.573966,olarak
0.475345,olan
0.454824,yüzde
0.392343,dedi
0.364165,yıl
0.362328,yeni
0.354977,büyük
0.354058,milyon
0.349464,bin
0.339051,olduğunu
0.333538,söyledi
0.330781,türkiye
0.324655,"olan, olarak"
0.313936,son
0.285452,"olarak, yüzde"
0.283614,başkanı
0.280551,ilk
0.274732,oldu
0.274426,devam
0.271057,önemli
0.2683,ilgili
0.26585,yer
0.261256,"dedi, olarak"
0.260031,milyar
0.258499,yapılan
0.258499,tarafından
0.258499,olduğu
0.256049,konuştu
0.255743,eden
0.252374,arasında
0.247473,"olarak, yıl"
0.245023,sonra
0.243185,"olan, yüzde"
0.241654,"olarak, yeni"
0.241348,etti
0.240735,ifade
0.240429,"olarak, büyük"
0.236753,geçen
0.234916,yılında
0.234609,"olarak, türkiye"
0.232466,"olduğunu, olarak"
0.230628,"olarak, milyon"
0.228178,"dedi, söyledi"
0.227565,genel
0.225727,fazla
0.225421,"dedi, olduğunu"
0.224196,şöyle
0.223277,"olan, büyük"
0.222971,"dedi, olan"
0.22144,"olarak, söyledi"
0.221133,var
0.219602,"olarak, son"
0.218989,"olan, yıl"
0.218377,"olarak, bin"
0.212251,"olan, yeni"
0.207963,önce
0.207044,dolar
0.203675,"olduğunu, söyledi"
0.202144,aynı
0.201531,yaklaşık
0.201531,yüksek
0.200306,içinde
