support,itemsets
0.577069,dedi
0.549486,olarak
0.442942,ilgili
0.42888,olduğunu
0.411574,genel
0.403461,olan
0.401298,başkanı
0.400757,başbakan
0.391022,söyledi
0.376961,etti
0.368307,sonra
0.365062,"dedi, olarak"
0.365062,var
0.361276,konuştu
0.339643,türkiye
0.332612,ifade
0.323959,"dedi, olduğunu"
0.322336,eden
0.314765,"dedi, konuştu"
0.312061,devam
0.309897,parti
0.309897,değil
0.307193,"dedi, söyledi"
0.302326,"dedi, ilgili"
0.296917,"ilgili, olarak"
0.292591,"olduğunu, olarak"
0.286641,chp
0.285019,"dedi, var"
0.281774,büyük
0.281774,"olan, olarak"
0.277988,tarafından
0.276906,olduğu
0.274202,şöyle
0.273121,erdoğan
0.269335,yaptığı
0.267712,"dedi, başbakan"
0.26609,"dedi, etti"
0.262304,"olarak, söyledi"
0.261763,önce
0.260681,"dedi, olan"
0.257977,"olarak, genel"
0.256896,"dedi, başkanı"
0.255273,"dedi, genel"
0.254732,"dedi, sonra"
0.254732,"olarak, var"
0.252028,son
0.251487,"dedi, değil"
0.251487,"olduğunu, söyledi"
0.251487,milletvekili
0.248783,üzerine
0.248783,"başkanı, olarak"
0.247701,"olarak, konuştu"
0.24662,bunu
0.24662,"olarak, etti"
0.246079,yeni
0.244997,"erdoğan, başbakan"
0.243916,ilişkin
0.243375,tayyip
0.243375,"ifade, olarak"
0.243375,önemli
0.241752,"dedi, türkiye"
0.241211,yapılan
0.24013,verdi
0.24013,"olarak, sonra"
0.239048,"dedi, ifade"
0.236344,"başkanı, genel"
0.236344,"olarak, başbakan"
0.236344,ardından
0.236344,içinde
0.235262,recep
0.23364,"olarak, türkiye"
0.232558,"tayyip, başbakan"
0.232017,"olduğunu, konuştu"
0.232017,"olduğunu, ilgili"
0.232017,bunun
0.231476,bakanı
0.230936,"dedi, devam"
0.230395,"dedi, eden"
0.227691,zaman
0.226068,"dedi, olarak, olduğunu"
0.225527,"söyledi, konuştu"
0.224986,"olarak, eden"
0.224986,"recep, tayyip"
0.223364,ben
0.221201,"olduğunu, etti"
0.221201,"değil, olarak"
0.219578,yer
0.219037,"recep, başbakan"
0.218496,"olduğunu, olan"
0.218496,"olduğunu, ifade"
0.217956,"dedi, olarak, konuştu"
0.217415,"dedi, olarak, söyledi"
0.217415,"recep, başbakan, tayyip"
0.216874,şekilde
0.215792,"olduğunu, var"
0.214711,"ilgili, var"
0.21417,türk
0.21417,bizim
0.213088,"ilgili, söyledi"
0.212547,"olarak, devam"
0.211466,"dedi, bunu"
0.211466,"dedi, olarak, ilgili"
0.209843,"ilgili, konuştu"
0.209302,yardımcısı
0.208761,"söyledi, var"
0.208761,böyle
0.208761,"şöyle, dedi"
0.208221,"dedi, parti"
0.208221,bugün
0.20768,bütün
0.207139,konusunda
0.207139,"olduğunu, türkiye"
0.206057,"olduğunu, dedi, konuştu"
0.205516,"konuştu, var"
0.204976,"şöyle, olarak"
0.204435,"dedi, söyledi, olduğunu"
0.203353,"olarak, büyük"
0.201731,"dedi, büyük"
0.20119,karşı
0.20119,"olduğunu, başkanı"
0.200649,"dedi, olarak, var"
0.200649,kendi
0.200108,"dedi, söyledi, konuştu"
0.200108,"olduğu, olarak"
